R2-USB1,153.19,46.97,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,127.18,47.13,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,154.93,10.30,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,91.71,59.89,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,70.22,10.83,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,72.83,13.61,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,33.85,49.11,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,50.57,34.11,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,48.89,34.11,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,46.01,34.11,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,73.47,26.51,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.00,108.34,180.00,BUTTON_CUSYOMV1.,MYBUTTON
R_BOOT,45.44,108.00,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,87.55,61.24,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.22,107.97,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,81.07,25.63,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.70,108.00,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,155.47,14.97,90.00,BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,67.66,10.29,0.00,,SJ
TP1,7.80,69.70,0.00,TX,TP20R
TP10,101.70,15.00,0.00,EPD_CS,TP20R
TP11,106.90,15.00,0.00,EPD_DC,TP20R
TP12,96.50,15.00,0.00,EPD_RST,TP20R
TP13,96.50,19.20,0.00,EPD_3V3_C,TP20R
TP14,129.77,56.51,0.00,VBUS,TP20R
TP15,86.22,66.21,0.00,INT_RTC,TP20R
TP16,9.09,41.59,0.00,3V3,TP20R
