Qty,Value,Device,Package,Parts,PURCHASE-URL,DATASHEET-URL,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CHECK_PRICES,COPYRIGHT,DESCRIPTION,HEIGHT,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MP,PACKAGE,POPULARITY,PRICE,PROD_ID,SNAPEDA_LINK,SPICEPREFIX,VALUE
1,BD5229G-TR,BD5229G-TR,SOT95P280X125-5N,IC1,https://www.digikey.com/en/products/detail/rohm-semiconductor/BD5229G-TR/658502?s=N4IgTCBcDaIEIBECsYwE4DiBaAKgJRAF0BfIA,https://www.digikey.com/en/products/detail/rohm-semiconductor/BD5229G-TR/658502?s=N4IgTCBcDaIEIBECsYwE4DiBaAKgJRAF0BfIA,"Voltage Detector with Adjustable Delay Time: CMOS processes are utilized to develop high precision, low current consumption CMOS reset ICs that allow arbitrary setting of the delay time. The extensive lineup includes both Nch Open Drain and CMOS output types in a wide range of detection voltages (from 2.3V to 6.0V, in 0.1V steps), enabling selection of the ideal solution based on customer requirements. In addition, the entire series is of course both lead-free and RoHS-compliant.",,,,,,Voltage Detector with Adjustable Delay Time: CMOS processes are utilized to develop high precision, low current consumption CMOS reset ICs that allow arbitrary setting of the delay time. The extensive lineup includes both Nch Open Drain and CMOS output types in a wide range of detection voltages (from 2.3V to 6.0V, in 0.1V steps), enabling selection of the ideal solution based on customer requirements. In addition, the entire series is of course both lead-free and RoHS-compliant.,1.25mm,ROHM Semiconductor,BD5229G-TR,,,755-BD5229G-TR,https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/BD5229G-TR?qs=4kLU8WoGk0vvnhrrYwdszw%3D%3D,,,,,,
1,BME680,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N,SENSOR2,https://www.digikey.com/en/products/detail/bosch-sensortec/BME680/7401317,https://www.digikey.com/en/products/detail/bosch-sensortec/BME680/7401317,Integrated Environmental Unit,,,Unavailable,,, Integrated Environmental Unit ,,,,Bosch Sensortec,,,,,,BME680,LGA-8 Bosch Tools,,None,,,,
3,BUTTON_CUSYOMV1.,BUTTON_CUSYOMV1.,MYBUTTON,"BOOT_BUTTON, CHANGE_BUTTON, RESET_BUTTON",https://www.digikey.com/en/products/detail/c-k/KMS221G-LFS/2043218?s=N4IgTCBcDaINIFkDKYwEYDiAZAYkkAugL5A,https://www.digikey.com/en/products/detail/c-k/KMS221G-LFS/2043218?s=N4IgTCBcDaINIFkDKYwEYDiAZAYkkAugL5A,,,,,,,,,,,,,,,,,,,,,,,,
1,CPH3225A,CPH3225A,CAPCP3225X100N,C10_SUPERCAP,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=562593&manufacturer=Seiko Instruments&part_name=CPH3225A&search_term=None,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=562593&manufacturer=Seiko Instruments&part_name=CPH3225A&search_term=None,Cap 0.011F 3.3V 1210 Flat Check availability,,,Not in stock,https://www.snapeda.com/parts/CPH3225A/Seiko+Instruments/view-part/?ref=eda,, 11 mF (EDLC) Supercapacitor 3.3 V 1210 (3225 Metric) - - ,,,,Seiko Instruments,,,,,,CPH3225A,1210 Seiko,,None,,https://www.snapeda.com/parts/CPH3225A/Seiko+Instruments/view-part/?ref=snap,,
1,DS3231SN#,DS3231SN#,SOIC127P1032X265-16N,U3,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=99048&manufacturer=Analog Devices&part_name=DS3231SN#&search_term=None,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=99048&manufacturer=Analog Devices&part_name=DS3231SN#&search_term=None,Real Time Clock Serial 16-Pin SOIC W T/R     Check availability,,,In Stock,https://www.snapeda.com/parts/DS3231SN%23/Analog+Devices/view-part/?ref=eda,, Extremely Accurate I²C-Integrated RTC/TCXO/Crystal ,,,,Analog Devices,,,,,,DS3231SN#,SOIC-16 Maxim,,None,,https://www.snapeda.com/parts/DS3231SN%23/Analog+Devices/view-part/?ref=snap,,
1,EPD_3V3,TP,TP20R,TP17,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,EPD_3V3_C,TP,TP20R,TP13,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,EPD_BUSY,TP,TP20R,TP9,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,EPD_CS,TP,TP20R,TP10,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,EPD_DC,TP,TP20R,TP11,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
